"Street","Suburb","State","Postcode","Charger Plug Type","Total Chargers","Charge Speed (kW)","Installation Date","Network Name","Charger Manufacturer","Plugshare Score","Latest Comments","URL","Name"
"22 Eyre Hwy","Balladonia","WA","6443","COMBO, THREE_PHASE_32A","2","24","2016-02-15T03:32:10Z, 2022-01-25T22:57:19Z","","Bosch","10","Charged ok. Can confirm price now $2/kwh

50kw topup = $100 (Rating: 1),  (Rating: 1), Here for another hour. 
 (Rating: 1), Charged here last night. Now charging $2/kWh  (Rating: 0), Here till 10:30 (Rating: 1),  (Rating: 1), 21kW - a luxury after all the 7kW so far travelling East to West.  Nice and welcoming to EV.  Will top up for 1h (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1), Should be charging for the next hour until 7am (Rating: 1), Need to follow the instructions to boot up the charger and connect. Remember to pull out the red emergency button below the key. After a few minutes, received 21 kWh. Happy to get this charge.will be here at least 2 hours. (Rating: 1), Here till about 3pm. 20kw speed. Nice and simple. (Rating: 1),  (Rating: 1), 22kw, all good. Pay by the kilowatt. Love to all (Rating: 1), #AUSYtour (Rating: 1), Fast charge. Staff very accommodating  (Rating: 1),  (Rating: 1), Waiting for Hotel to be opened...Reached early, opening at 6am.... (Rating: 1),  (Rating: 1), Will be done by 19:30 (Rating: 1),  (Rating: 1), Finished by 2100. Call if urgent. 0418925348 Room 24 (Rating: 1),  (Rating: 1),  Charging for next two hours and another Tesla is waiting to charge after and will need 3 and 1/2hrs.
So charger will be available after about 8pm. (Rating: 1), Finishing at 9pm.  (Rating: 1), staying overnight to recharge in the caravan park 4kW 15 amp (Rating: 0), Nice hotel, charging stop. Had to stay at Caiguna yesterday night as Baldonia was closed at9.30. if you are coming before than, great. Call and confirm.  (Rating: 1), Successfully charged  (Rating: 1), 42kWh (Rating: 1), Arrived 20.45 staff very helpful  (Rating: 1), Successfully charged 30.9 kWh
The price has gone up to $1.20 per kWh (Rating: 1),  (Rating: 1), Great place,loved the space museum also  (Rating: 1), Long charge for the drive East.
Finish time 3:08pm local time (Rating: 1), Huge thanks to Balladonia Hotel Motel
Big top up before heading west. Estimated completion time 11:00am (Rating: 1), Perfect. Finished by 1330.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Much appreciated. Cost $1.00/kw. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging at 20kw. Overnighting at the motel (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Took 2 inserts but getting 19kw now. (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/81189","Balladonia Hotel"
"10 James St","Esperance","WA","6450","COMBO_TYPE2, COMBO_TYPE2","2","","2022-06-13T02:20:40Z, 2022-06-13T03:47:14Z","","","","Contractors have arrived in town. “Will be done within 3 weeks” Norseman next and then Newman.  -- checkin created before location officially marked open (Rating: 0), Due for completion October 2023 - Horizon Power -- checkin created before location officially marked open (Rating: 0), The HV transformer and power distribution is all in and humming so powered up, no signs of chragers or local ground works yet.  -- checkin created before location officially marked open (Rating: 0), 25th of March. Is it still on track? Was looking forward to trying it out. -- checkin created before location officially marked open (Rating: 0), Horizontal boring underway. Transformers being installed on site. Looking on track for March  -- checkin created before location officially marked open (Rating: 0), Still no sign of any work being started here. Just a promise and a press release unfortunately. But it will be a good location if/ when it eventuates  -- checkin created before location officially marked open (Rating: 0), No work activity yet.  -- checkin created before location officially marked open (Rating: 0), Hopefully not installing ""Tritium"" chargers. -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/407038","Esperance (WA EV Network) (Coming Soon)"
"45 Morgans St","Ravensthorpe","WA","6346","COMBO_TYPE2, CHADEMO","1","20","2022-03-07T18:04:14Z","Chargefox","Tritium","10","Bit fickle today, stop/start couple of times (Rating: 1), Will be here until 1pm or so (Rating: 1), Here till 5:30pm (Rating: 1), No phone signal with Telstra. Had to walk up to the Post Office in town and connect to the free wifi and connect to the Charge Fox app and then my wife at the charger could plug the car in (Rating: 1), Here until about 7am (Rating: 1), Will be a couple of hours till about three (Rating: 0), Charging stops sporadically. I’d recommend staying with the car as for me in 90 minutes it stopped three times with no predictable pattern.  (Rating: 1), Here for a couple hours en route to Esperance  (Rating: 1), Just a top-up and coffee in town (Rating: 1), Here for about an hour  (Rating: 1), Only Telstra, otherwise use RFID card (we used the Evie card but had chargefox added prior our trip).  All worked smoothly and a relief to encounter a fast-ish charger: 19kW.  Will be here an hour or so (Rating: 1),  (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1), Charging stopped a couple times after about 15-20 mins of charging. Monitor charging if you go for a walk. 19kW is slow enough without restarts.  (Rating: 1), Still only outputting 20kw not sure who to contact.  (Rating: 1),  (Rating: 1), Should be done by 12:30.  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging fine at 19kW, top up enroute Esperance to Albany  (Rating: 1), Finished by 1130. In cafe at Foodworks or car. Giving 20kW as expected. Cut out twice in first 35 min when away from car then fine for rest of charge when we were in car. Rang Chargefox who logged only that charge had been stopped, but no fault.  (Rating: 1),  (Rating: 1), Stopping for lunch at Ravy Country Kitchen  (Rating: 1), Still only charging at 19kwH
Reported it to Shire Office
No help at all. I had to tell them where the charger was.  (Rating: 1),  (Rating: 1), Using telstra prepaid phone card to connect as no other reception :)  (Rating: 1),  (Rating: 1), Charging @19kwh 135km/hr (Rating: 1), Charging well, 19 kw speed, about 2 hours to refill for Albany. Should be done by about 1pm. (Rating: 1), Almost home 😁 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charged using CCS connector. All working well on reduced power. (Rating: 1), Back for another charge on our way east.  (Rating: 1),  (Rating: 1), Tripped out a few times  but got enough to keep going.  (Rating: 1), Tripped out a couple of times but eventually got enough to move on (Rating: 0),  (Rating: 1), Thanks to everyone who got this charger working again.  A slow charge is better than no charge!  (And 20kw is still pretty good) Edit: charger stoped after an hour. (Rating: 1), Charged successfully, however limited to 20kw (Rating: 1),  (Rating: 1), I am currently taking my elderly mother on a road trip to Adelaide to visit her siblings.  We had the ok from her doctor who said she was in good health for the trip. We are staying at motels and friends along the way.
This morning, when I got here, the EV charger wasn't working. I went over to the Ravensthorpe council to ask if it was possible to access to 3 phase power. They were not able to provide 3 phase power. One of the staff members at the Ravensthorpe council made some phone calls and sent me to a local mechanic who had a 3 phase power socket.  When I got there, I realised I had bought the wrong three phase cord :-/
He also made a few phone calls.  I was contacted by the owner of the EV charger, who then went over and above to ensure I was able to get my car charged today inorder to get to Esperance. Everyone I encountered today helped us. I am extremely grateful for the extraordinary care and support we received. Thank you to everyone who helped make it possible for me to get my mother safely to our next destination. 
My car is now fully charged and we are on our way.  (Rating: 1), Charger derated and made available again. Currently charging and a successful check in will confirm  (Rating: 0), Still not working  (Rating: -1), Power tripped in a few seconds  (Rating: -1), Still down, worked for a few seconds at 48kw and then tripped the breaker,spoke to Chargefox, nothing they can do.  (Rating: -1), Informed by Lloyds electrical that western power required him to downgrade fuse to 32A as pole to box line needs upgrading!
Charger is tripping fuse in box so will need to be dialed back to 18kw again! (Rating: -1)","https://www.plugshare.com/location/363916","Opposite BP Ravensthorpe"
"LOT 11 Eyre Hwy","Madura","WA","6443","CARAVAN_MAINS_SOCKET, THREE_PHASE_32A, COMBO","3","","2017-10-13T09:22:15Z, 2019-11-09T06:38:41Z, 2022-01-25T23:10:55Z","","","10"," (Rating: 1), Quick top up and breaky here yesterday morning. Thanks Franco. (Rating: 0), Charging here till 3:30. Great service!  (Rating: 1),  (Rating: 1), Reliable 22KW DC. Will be here until 2pm (Rating: 1), Just go to the Shell garage, ask for a charge and park to the right of workshop. Make sure you push the CCS plug firmly into your car to get the connection. First time I tried, it didn't connect properly. Will be here for 1.5 hours. 
  (Rating: 1), Hi Folks, everything is back up and running again….charged here this morning…21 kw speed…had lovely poached eggs on toast and coffee in the motel. Great place, thanks. (Rating: 1), Main generator still out of action so limited to 16A from the 3ø outlet. Charged for 75min so we could make it to Border Village for the night.  (Rating: 1), 7kw Chelsea and Matt are as wonderful as ever. Love to all. (Rating: 1), Apologies wrong location. We’re at Caiguna! (Rating: 1), Excellent waste cooking oil charge. 42 kW of juice. Will be out of here in an hour. Thanks Ben. (Rating: 1), 7kW, great place. Thank you Chelsea. She is a positive and great person. Love to all. (Rating: 1), Still MIA, as having issues with generator. Ele. Charging unit itself is in working condition, they won't start this service until generator is fixed. Thanks.  (Rating: 1), The main generator at Madura Pass is currently out of action so no DC charging is available for a few days (Rating: -1), Here till 1400- over in cafe reading. (Rating: 1), Here for three hours  (Rating: 1), Change for another hour and half (Rating: 1), Here for three hours  (Rating: 1), stayed o/night in the  caravan park (Rating: 1), Lovely staff, John helped to set up a charger. 21kw, will be here for 3 hrs topping full, as don't want to take a risk, dragging a lot today, wind is 21km/hr, consuming a lot of battery. Please have buffer if passing by check weather.  (Rating: 1), Beautiful scenic walk 
Lovely staff
43.6kWh
Thank you  (Rating: 1),  (Rating: 1), Great staff. Thanks  (Rating: 1),  (Rating: 1), Big top up (Rating: 1), Staff very helpful  (Rating: 1), 20kW. Fee now flat $35. Finished by 0845. Plug needs two insertions to start, same as Balladonia. (Rating: 1), Quick top up. A huge thanks to Madura Pass Motel - +20kW is sweet after a few days of 7kW AC charging (Rating: 1), Great service, thanks Madura Pass Roadhouse and UWA  (Rating: 1), Should be gone by 1.00pm. Nice staff. (Rating: 1),  (Rating: 1), Thanks UWA for the faster charge.  Much appreciated in these parts. (Rating: 1),  (Rating: 1), Fast charging but ignore the $10ph fee as written in the description above.
$35 flat rate. (Rating: 1),  (Rating: 1), Flat charge of $35.  (Rating: 1),  (Rating: 1),  (Rating: 1), Worked after connecting a second time. (Rating: 1),  (Rating: 1),  (Rating: 1), Excellent having this option along the nullabor. Quick boost for another 20%.  (Rating: 1), Lovely staff. $35 for the recharge and as others have had once initialising complete the system needed me to unlock the port and reinsert the cable to start charging.  (Rating: 1), Started charging at 0615am. Like the similar Delta charger at Balladonia, after unlocking it, waiting for the initialisation process then plugging in when the charger screen says to, it usually fails to 'lock connector' successfully and requests 'remove connector'. Don't worry, it soon requests you to 'connect connector' again, after which it starts charging and all is good. This has happened each time I've used these Delta chargers - five times now.
 (Rating: 1), The staff kindly started up the Delta DC charger. Getting 20kW and very happy. Thanks Madura  Pass! (Rating: 1), Worked after second insertion after booting up. Guys were friendly and helpful. They disable the 3 phase socket that feeds the 22kW charger between use due to some entitled people helping themselves to the 3 phase socket. Here for 20mins, quick boost before Border Village (Rating: 1), Took two goes to get it going but worked flawless after that (Rating: 1), Quick top-up before heading to Caiguna.
Atto Gal will be plugging in for a couple of hours after me.. please be aware :) (Rating: 1), Working fine.
Same type of unit as at Balladonia, but doesn't seem to have the connection issues.
If the operator plugs your car in before the charger finishes booting don't worry. It gives an error and all you need to do is unplug from the car and re-plug.
You DO NOT have to reboot the machine!! (Rating: 1), Forgot to add, it took 3 times for my car to read the charger. Don't panic! Just take it out and start again. Working beautifully now. (Rating: 0)","https://www.plugshare.com/location/131873","Madura Pass Oasis Motel"
"232 Eyre Hwy","Caiguna","WA","6443","CHADEMO, COMBO","1","50","2022-01-17T11:19:14Z","","Tritium","10","Currently at Cocklebiddy and charging is free due to  Caiguna being out of service (other than Caravan park socket). Advised that engineer will not get to Caiguna till the end of the month to repair.  (Rating: 0), Not operating. Phoned this morning and told management has been advised not to offer charging due to fault.  (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1), Just called Caiguna Saturday morning 7am charger still not working (Rating: 0), Retake. The biofill charger has developed a fault and could not get enough charge to get to next stop. I will have double back to Cocklebiddie. Phone ahead before expecting to get a fast charge at Caiguna. (Rating: 0), Takes about 5 mins to start generator and then chatging can start. It did stop after 10 mins and had to reconnect. Will be here for about 1 hour having lunch. (Rating: 1),  (Rating: 1), Just ran out of used cooking oil!  Be a bit longer… (Rating: 1), 42 kW juice. All good. Thanks Ben. Out of here in an hour (Rating: 1), Friendly place. Excellent service. Fast charge (Rating: 1),  (Rating: 1), Great service (Rating: 1), Should be done by 16:20 CT (Rating: 1), Vincent
Tesla model 3 LR
Excellent service 3% to 90% in just under 1 & a half hours 66.6 kWh gained.
Biofil seems a great way to go (Rating: 1),  (Rating: 1), Here for just under an hour ie 1630 Perth time (Rating: 1), Charging for one hour (Rating: 1), Very nice staff, accepted to start it again as already closed it. 50kw, biofill, fast DC. Caiguna Roadhouse staff made my day. Appreciate it. Please call ahead and confirm . Usually closing early now 5 to 6pm as per staff.  (Rating: 1),  (Rating: 1), 43kWh (Rating: 1),  (Rating: 1), Few restarts due to very cold morning 4 degrees (Rating: 1),  (Rating: 1),  (Rating: 1), Awesome  (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1), Excellent service thank you (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Needed a soft restart and second time it's working well  (Rating: 1), Flawless experience, cheers Caiguna. here for 1:30, rolled up with 8% and charging deep. (Rating: 1), Thanks Caiguna. Friendly and efficient staff got us charging pronto. (Rating: 1), Staff very helpful. Unit needed to be reinitialised, but they got it going. Getting 45kW (Rating: 1), Started and ran perfectly. Staff member very friendly and well-informed with steps and instructions. Roadhouse is not too busy at the moment. Here for 1h (Rating: 1),  (Rating: 1), Breaker and charger needed a reset, but all working fine now thanks to Jon's quick response. (Rating: 1), Needed to take the plug out and re-insert 3 or 4 times, but working :) (Rating: 1), Very happy to see this charger working beautifully 🙂
They do prefer arrival by 5pm and close completely at 8pm, so be warned! (Rating: 1),  (Rating: 1), Friendly and helpful staff. 50kw DC a sight for sore eyes. Took about 5 minutes for the machine to fire up. Charger for about an hour and put Paid $50 for the charge.  (Rating: 1), Appointment is a must!!!
Vegpod required a restart to start charging.
Opens from 6am to 8pm strictly! (Rating: 1),  (Rating: 1),  (Rating: 1), $50.   (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/358328","Caiguna Roadhouse"
"68 Roberts St","Norseman","WA","6443","COMBO","1","","2023-03-03T06:46:17Z","WA EV Network","","","Horizon power have confirmed this location will open after Esperance is completed  -- checkin created before location officially marked open (Rating: 0), Dropped by today for a look….no change since the last photo/post……really looking forward to this opening. -- checkin created before location officially marked open (Rating: 0), Not much progress  -- checkin created before location officially marked open (Rating: 0), Oh look, another taxpayer funded site with only one plug type.  -- checkin created before location officially marked open (Rating: 0), Charger locations marked out on ground… -- checkin created before location officially marked open (Rating: 0), 630 kVA transformer looks close to being installed. See photo. Roberts Street near Sinclair Street intersection. -- checkin created before location officially marked open (Rating: 0), Underground cabling work NOT for the charge station - they are replacing the overhead power.  Work on the charge station is many months away, and requires installation of a ~650kVa transformer. (spoke with the foreman working on the underground cabling) -- checkin created before location officially marked open (Rating: 0), Underground cabling works currently underway. No word on ETA. Likely Q2-3 2023 -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/499364","WA EV Network - Norseman (Coming Soon)"
"90 Bayley St","Coolgardie","WA","6429","COMBO_TYPE2, COMBO_TYPE2, TYPE_2","1","","2023-09-15T14:13:20Z","WA EV Network","","","","https://www.plugshare.com/location/558761","WA EV Network - Coolgardie (Coming Soon)"
"255 Stirling Terrace","Albany","WA","6330","COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2","2","150, 150","2023-08-07T18:36:56Z, 2023-08-07T18:36:56Z","Chargefox","Kempower, Kempower","10"," (Rating: 1),  (Rating: 1), Nice and new  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging great!  (Rating: 1), 3rd time DC charging just to try it. Charging 50% to 100% if no one else needs it. Charging at 90.3kw (Rating: 1),  (Rating: 1), Charging is slow because of low temperature this morning! (Rating: 1),  (Rating: 1), Here till 940 (Rating: 0),  (Rating: 1), Be here until 1000 (Rating: 1), Only getting 40kW from it.  (Rating: 1),  (Rating: 1), Should be here for 30 mins (Rating: 1), Fantastic! All alone here. (Rating: 1), Great fast charger (Rating: 1), Ticks only a couple boxes for reasonably fast charging and location. Seems to have been hidden away as a dirty little secret, too far away from public toilets, grocery store or take aways. Just for tourists, between museums, wine tastings, and fancy restaurant.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Going to try and find me a coffee. 
Back around 4:30.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Beautiful day for it. (Rating: 1), Be here about 30 mins. Nice rapid charging.  (Rating: 1),  (Rating: 1), Working perfectly  (Rating: 1), Cold battery so peaked at 80kW. Great charger setup! (Rating: 1),  (Rating: 1), Nice 35.9kWh (Rating: 1),  (Rating: 1), Great to have fast charger in Albany (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 2 cars will be 30 mins. Great chargers  (Rating: 1),  (Rating: 1), Fast but pricey  (Rating: 1), Station 6228, stall A, charging at 100kW speed!
Excellant, just like a Tesla Supercharger. Here till about 5.15pm. (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/470541","Old Gaol Museum"
"38 Stubbs St","Lake Grace","WA","6353","CHADEMO, COMBO_TYPE2","1","50","2020-09-22T17:20:36Z","Chargefox","Tritium","10"," (Rating: 1), Topped up successfully. Great coffee at Rosie’s.  (Rating: 1), Topped up here this morning (Rating: 0),  (Rating: 1),  (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1),  (Rating: 1),  (Rating: 1), Had a bit of trouble getting started, even though we haven’t had issues here before.  Rang Chargefox and they reset it.  All good now. (Rating: 1),  (Rating: 1), Will be here until 16:15.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Fast charging using telstra prepaid for wifi :) (Rating: 1),  (Rating: 1),  (Rating: 1), 20 minutes topup (Rating: 1),  (Rating: 1),  (Rating: 1), Msg if you need as I won't be far (Rating: 1), Need full charge, back at 4.20pm (Rating: 1),  (Rating: 1), CCS working fine (Rating: 1), CCS connector is working well. Was not able to get CHAdeMO to work. (Rating: 1), Reported. Waiting on parts apparently.  (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), One hour and 11 minutes 
40.29kWh
All good
Lake Grace is a wonderful public with friendly staff
Nice clean toilet facilities at charging aite (Rating: 1), Just topping up for return trip to Jerramungup. $5 for 12kwh. Bargain  (Rating: 1), Late this afternoon for an hour. Got a couple of error messages. On advice from Chargefox, closed and locked the car before reconnecting. Then all good. Charged to 100% to get back to Perth (Rating: 1), Be done by 1 pm (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here for the hour.  Message me if you need to use it.   (Rating: 1), Top up to 100% will take just over an hour. Coffee and lunch at Rosie’s across the road  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Will be here for 1hr (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Had a couple of errors that required restarting. Recommend paying attention to progress (Rating: 1)","https://www.plugshare.com/location/268279","Lake Grace"
"1 Altair St","Southern Cross","WA","6426","COMBO_TYPE2, COMBO_TYPE2, TYPE_2","1","","2023-08-30T11:18:04Z","","","","","https://www.plugshare.com/location/554510","WA EV Network - Southern Cross (Coming Soon)"
